,Date,Temperature,Average humidity (%,Average dewpoint (°F,Average barometer (in,Average windspeed (mph,Average gustspeed (mph,Average direction (°deg,Rainfall for month (in,Rainfall for year (in,Maximum rain per minute,Maximum temperature (°F,Minimum temperature (°F,Maximum humidity (%,Minimum humidity (%,Maximum pressure,Minimum pressure,Maximum windspeed (mph,Maximum gust speed (mph,Maximum heat index (°F,Month,diff_pressure
0,2022-01-01,37.8,35.0,12.7,29.7,26.4,36.8,274.0,0.0,0.0,0.0,40.0,40.0,4.0,27.0,29.762,29.596,41.4,59.0,40.0,1,0.1660000000000003
1,2022-02-01,43.2,32.0,14.7,29.5,12.8,18.0,240.0,0.0,0.0,0.0,52.0,52.0,4.0,16.0,29.669,29.268,35.7,51.0,52.0,1,0.4009999999999998
2,2022-03-01,25.7,60.0,12.7,29.7,8.3,12.2,290.0,0.0,0.0,0.0,41.0,41.0,8.0,35.0,30.232,29.26,25.3,38.0,41.0,1,0.9719999999999978
3,2022-04-01,9.3,67.0,0.1,30.4,2.9,4.5,47.0,0.0,0.0,0.0,19.0,19.0,7.0,35.0,30.566,30.227,12.7,20.0,32.0,1,0.3389999999999986
4,2022-05-01,23.5,30.0,-5.3,29.9,16.7,23.1,265.0,0.0,0.0,0.0,30.0,30.0,5.0,13.0,30.233,29.568,38.0,53.0,32.0,1,0.6649999999999991
5,2022-06-01,24.8,42.0,4.6,29.8,16.0,23.9,276.0,0.0,0.0,0.0,29.0,29.0,5.0,27.0,29.879,29.637,29.9,48.0,32.0,1,0.2420000000000008
6,2022-07-01,34.2,60.0,21.6,29.7,20.4,30.0,276.0,0.0,0.0,0.0,39.0,39.0,8.0,46.0,29.86,29.602,38.0,54.0,39.0,1,0.2579999999999991
7,2022-08-01,42.1,41.0,20.0,29.8,17.5,25.2,265.0,0.0,0.0,0.0,51.0,51.0,5.0,28.0,29.883,29.627,35.7,49.0,51.0,1,0.2560000000000002
8,2022-09-01,30.3,46.0,11.4,30.0,6.9,10.6,292.0,0.0,0.0,0.0,41.0,41.0,8.0,27.0,30.446,29.575,24.2,36.0,41.0,1,0.8710000000000022
9,2022-10-01,26.2,38.0,3.6,30.4,18.2,24.6,258.0,0.0,0.0,0.0,31.0,31.0,4.0,29.0,30.489,30.291,31.1,46.0,32.0,1,0.1980000000000004
10,2022-11-01,30.1,41.0,9.0,30.3,17.0,24.6,270.0,0.0,0.0,0.0,36.0,36.0,5.0,29.0,30.421,30.112,31.1,44.0,36.0,1,0.309000000000001
11,2022-12-01,23.4,60.0,11.0,30.3,7.4,11.0,351.0,0.03,0.03,0.0,31.0,31.0,8.0,41.0,30.524,30.012,25.3,33.0,32.0,1,0.5120000000000005
12,2022-01-13,32.4,47.0,14.6,30.2,16.3,22.6,254.0,0.03,0.03,0.0,38.0,38.0,5.0,34.0,30.34,30.046,32.2,47.0,38.0,1,0.2940000000000005
13,2022-01-14,33.1,45.0,14.2,30.2,9.9,14.0,259.0,0.03,0.03,0.0,39.0,39.0,5.0,34.0,30.271,30.115,29.9,32.0,39.0,1,0.1560000000000023
14,2022-01-15,35.7,42.0,14.5,30.3,7.9,11.8,270.0,0.03,0.03,0.0,43.0,43.0,5.0,28.0,30.405,30.201,19.6,26.0,43.0,1,0.2040000000000006
15,2022-01-16,41.6,28.0,9.7,30.3,11.9,16.7,269.0,0.03,0.03,0.0,53.0,53.0,4.0,14.0,30.432,30.127,26.5,37.0,53.0,1,0.3049999999999997
16,2022-01-17,40.9,21.0,3.1,30.3,6.7,9.7,276.0,0.03,0.03,0.0,54.0,54.0,2.0,11.0,30.435,30.093,21.9,26.0,54.0,1,0.3419999999999987
17,2022-01-18,43.4,15.0,-1.7,30.3,9.6,14.7,288.0,0.03,0.03,0.0,52.0,52.0,2.0,8.0,30.425,30.19,24.2,36.0,52.0,1,0.2349999999999994
18,2022-01-19,46.6,19.0,3.6,30.3,7.0,10.5,293.0,0.03,0.03,0.0,57.0,57.0,3.0,7.0,30.333,30.154,20.7,28.0,57.0,1,0.1789999999999985
19,2022-01-20,40.0,27.0,-1.0,30.4,4.8,7.4,285.0,0.03,0.03,0.0,61.0,61.0,6.0,4.0,30.607,30.016,18.4,26.0,61.0,1,0.5910000000000011
20,2022-01-21,48.2,11.0,-4.6,30.0,12.4,16.8,257.0,0.03,0.03,0.0,55.0,55.0,1.0,6.0,30.143,29.871,25.3,35.0,55.0,1,0.272000000000002
21,2022-01-22,44.8,40.0,20.8,29.9,11.8,16.3,264.0,0.03,0.03,0.0,52.0,52.0,6.0,17.0,29.911,29.784,31.1,44.0,52.0,1,0.1270000000000024
22,2022-01-23,24.8,81.0,19.6,30.2,3.7,5.3,52.0,0.03,0.03,0.0,38.0,38.0,8.0,63.0,30.473,29.855,12.7,16.0,38.0,1,0.6179999999999986
23,2022-01-24,35.4,68.0,25.0,30.0,8.2,10.8,281.0,0.09,0.09,0.0,47.0,47.0,9.0,40.0,30.436,29.689,26.5,35.0,47.0,1,0.7469999999999999
24,2022-01-25,21.0,77.0,14.5,29.9,4.3,6.1,35.0,0.2,0.2,0.0,39.0,39.0,9.0,45.0,30.138,29.652,23.0,26.0,39.0,1,0.4860000000000006
25,2022-01-26,2.8,73.0,-4.0,30.3,3.9,5.6,51.0,0.2,0.2,0.0,11.0,11.0,7.0,65.0,30.535,29.879,15.0,20.0,32.0,1,0.6559999999999988
26,2022-01-27,7.9,51.0,-8.1,30.4,12.7,17.7,263.0,0.2,0.2,0.0,19.0,19.0,7.0,25.0,30.619,30.131,34.5,47.0,32.0,1,0.4879999999999995
27,2022-01-28,21.8,43.0,2.6,30.2,19.6,28.0,269.0,0.2,0.2,0.0,27.0,27.0,5.0,31.0,30.25,30.063,43.7,58.0,32.0,1,0.1870000000000011
28,2022-01-29,22.5,40.0,1.3,30.3,9.4,14.4,267.0,0.2,0.2,0.0,30.0,30.0,5.0,27.0,30.408,30.24,28.8,47.0,32.0,1,0.1680000000000028
29,2022-01-30,36.0,33.0,9.4,30.3,15.7,21.3,261.0,0.21,0.21,0.0,46.0,46.0,4.0,22.0,30.435,30.102,32.2,44.0,46.0,1,0.3329999999999984
30,2022-01-31,38.3,22.0,2.7,29.9,15.4,21.4,260.0,0.21,0.21,0.0,45.0,45.0,3.0,14.0,30.136,29.787,32.2,43.0,45.0,1,0.3490000000000002
31,2022-01-02,30.8,26.0,-1.5,30.1,11.4,17.0,279.0,0.0,0.21,0.0,38.0,38.0,4.0,12.0,30.3,29.826,29.9,41.0,38.0,2,0.4740000000000002
32,2022-02-02,33.0,33.0,6.3,30.2,16.6,24.4,271.0,0.0,0.21,0.0,40.0,40.0,4.0,25.0,30.24,30.055,29.9,48.0,40.0,2,0.1849999999999987
33,2022-03-02,38.6,37.0,13.6,30.3,10.3,15.0,275.0,0.0,0.21,0.0,48.0,48.0,5.0,19.0,30.392,30.23,21.9,30.0,48.0,2,0.161999999999999
34,2022-04-02,43.3,16.0,-1.0,30.2,7.0,10.1,271.0,0.0,0.21,0.0,55.0,55.0,2.0,7.0,30.45,30.031,21.9,30.0,55.0,2,0.4190000000000005
35,2022-05-02,45.6,15.0,0.6,30.0,11.1,15.8,270.0,0.0,0.21,0.0,53.0,53.0,2.0,10.0,30.105,29.802,28.8,36.0,53.0,2,0.3030000000000008
36,2022-06-02,33.4,50.0,14.9,29.9,7.3,10.5,256.0,0.0,0.21,0.0,44.0,44.0,9.0,27.0,30.034,29.667,32.2,47.0,44.0,2,0.3669999999999973
37,2022-07-02,34.2,56.0,19.4,30.1,4.3,6.9,272.0,0.0,0.21,0.0,43.0,43.0,8.0,35.0,30.258,29.949,18.4,28.0,43.0,2,0.3089999999999975
38,2022-08-02,31.5,65.0,19.9,29.9,2.0,3.4,39.0,0.0,0.21,0.0,50.0,50.0,8.0,27.0,30.238,29.378,17.3,22.0,50.0,2,0.8599999999999994
39,2022-09-02,31.2,48.0,13.2,29.4,18.4,25.4,268.0,0.0,0.21,0.0,38.0,38.0,8.0,31.0,29.572,29.28,34.5,49.0,38.0,2,0.291999999999998
40,2022-10-02,25.8,56.0,11.3,29.7,3.5,5.4,334.0,0.0,0.21,0.0,33.0,33.0,8.0,36.0,29.997,29.537,18.4,25.0,33.0,2,0.4600000000000008
41,2022-11-02,23.2,53.0,8.3,30.0,6.4,9.4,267.0,0.01,0.22,0.0,30.0,30.0,7.0,36.0,30.166,29.942,27.6,39.0,32.0,2,0.2240000000000002
42,2022-12-02,25.9,48.0,7.9,30.1,5.6,8.4,298.0,0.01,0.22,0.0,35.0,35.0,8.0,25.0,30.265,29.911,17.3,26.0,35.0,2,0.3539999999999992
43,2022-02-13,19.9,77.0,13.8,30.1,2.6,4.4,67.0,0.01,0.22,0.0,29.0,29.0,8.0,54.0,30.276,29.914,11.5,14.0,32.0,2,0.3619999999999983
44,2022-02-14,20.5,75.0,13.6,30.1,3.6,5.4,266.0,0.03,0.24,0.0,31.0,31.0,8.0,43.0,30.163,29.874,19.6,25.0,32.0,2,0.2890000000000015
45,2022-02-15,27.8,32.0,-0.0,30.2,13.8,19.7,270.0,0.03,0.24,0.0,35.0,35.0,8.0,17.0,30.286,29.989,32.2,40.0,35.0,2,0.2970000000000006
46,2022-02-16,38.9,24.0,4.7,29.8,16.5,24.1,277.0,0.03,0.24,0.0,46.0,46.0,4.0,15.0,29.989,29.625,29.9,44.0,46.0,2,0.3640000000000007
47,2022-02-17,32.5,44.0,12.2,29.6,16.6,22.9,267.0,0.03,0.24,0.0,37.0,37.0,8.0,27.0,29.812,29.473,34.5,48.0,37.0,2,0.3390000000000022
48,2022-02-18,28.3,42.0,7.5,30.0,10.2,15.1,269.0,0.03,0.24,0.0,35.0,35.0,5.0,26.0,30.252,29.779,24.2,35.0,35.0,2,0.472999999999999
49,2022-02-19,27.8,37.0,4.3,30.3,14.5,20.0,256.0,0.03,0.24,0.0,34.0,34.0,5.0,23.0,30.354,30.156,27.6,38.0,34.0,2,0.1980000000000004
50,2022-02-20,27.9,36.0,1.6,30.1,14.8,21.2,273.0,0.03,0.24,0.0,37.0,37.0,8.0,13.0,30.312,29.928,35.7,52.0,37.0,2,0.3840000000000003
51,2022-02-21,34.7,29.0,3.1,30.2,10.9,15.3,266.0,0.03,0.24,0.0,50.0,50.0,8.0,15.0,30.348,30.089,27.6,36.0,50.0,2,0.2590000000000003
52,2022-02-22,44.0,18.0,2.1,30.1,8.7,12.4,265.0,0.03,0.24,0.0,54.0,54.0,2.0,10.0,30.281,29.984,24.2,35.0,54.0,2,0.296999999999997
53,2022-02-23,44.7,47.0,24.8,29.9,9.7,14.0,266.0,0.03,0.24,0.0,53.0,53.0,6.0,27.0,30.059,29.844,26.5,39.0,53.0,2,0.2149999999999998
54,2022-02-24,44.4,41.0,21.8,29.8,15.7,22.3,264.0,0.03,0.24,0.0,50.0,50.0,6.0,30.0,29.898,29.73,40.3,51.0,50.0,2,0.1679999999999992
55,2022-02-25,45.8,32.0,15.6,29.8,10.4,14.8,265.0,0.03,0.24,0.0,56.0,56.0,8.0,13.0,29.957,29.632,25.3,36.0,56.0,2,0.3249999999999993
56,2022-02-26,35.2,53.0,18.9,29.8,8.4,12.0,268.0,0.03,0.24,0.0,43.0,43.0,8.0,24.0,29.874,29.682,24.2,36.0,43.0,2,0.1920000000000001
57,2022-02-27,26.7,45.0,6.6,30.0,9.8,14.7,278.0,0.03,0.24,0.0,34.0,34.0,7.0,25.0,30.475,29.753,28.8,47.0,34.0,2,0.7220000000000013
58,2022-02-28,29.1,27.0,-2.0,30.5,4.6,7.1,349.0,0.03,0.24,0.0,42.0,42.0,5.0,10.0,30.629,30.404,21.9,32.0,42.0,2,0.2250000000000014
59,2022-01-03,40.6,21.0,-0.3,30.3,7.4,10.6,242.0,0.0,0.24,0.0,58.0,58.0,5.0,9.0,30.534,29.947,23.0,38.0,58.0,3,0.5869999999999997
60,2022-02-03,54.0,16.0,7.9,29.9,12.0,16.8,260.0,0.0,0.24,0.0,62.0,62.0,2.0,11.0,29.961,29.726,26.5,39.0,62.0,3,0.2349999999999994
61,2022-03-03,48.7,30.0,17.9,29.8,11.8,16.7,266.0,0.0,0.24,0.0,58.0,58.0,4.0,19.0,29.887,29.705,27.6,43.0,58.0,3,0.1820000000000021
62,2022-04-03,49.1,20.0,7.4,29.7,11.3,15.6,259.0,0.0,0.24,0.0,58.0,58.0,5.0,9.0,29.878,29.477,27.6,38.0,58.0,3,0.4009999999999998
63,2022-05-03,38.5,26.0,5.1,29.7,12.8,18.0,266.0,0.0,0.24,0.0,46.0,46.0,4.0,14.0,29.913,29.473,36.8,52.0,46.0,3,0.4400000000000013
64,2022-06-03,33.1,36.0,8.5,29.9,6.2,9.0,186.0,0.0,0.24,0.0,42.0,42.0,7.0,23.0,29.955,29.77,28.8,36.0,42.0,3,0.1849999999999987
65,2022-07-03,27.8,66.0,17.0,29.8,5.8,8.4,263.0,0.03,0.27,0.0,38.0,38.0,8.0,35.0,29.952,29.738,27.6,37.0,38.0,3,0.2140000000000022
66,2022-08-03,36.9,23.0,0.1,29.8,20.9,29.6,274.0,0.03,0.27,0.0,47.0,47.0,4.0,10.0,29.909,29.626,32.2,51.0,47.0,3,0.2829999999999977
67,2022-09-03,34.1,41.0,9.6,29.7,6.9,11.0,81.0,0.03,0.27,0.0,44.0,44.0,8.0,21.0,29.844,29.542,24.2,40.0,44.0,3,0.3019999999999996
68,2022-10-03,19.5,51.0,2.0,30.0,12.7,18.5,281.0,0.04,0.28,0.0,26.0,26.0,8.0,22.0,30.271,29.629,38.0,54.0,32.0,3,0.6419999999999995
69,2022-11-03,29.2,35.0,2.7,30.2,7.6,10.5,35.0,0.04,0.28,0.0,46.0,46.0,6.0,11.0,30.378,30.069,19.6,30.0,46.0,3,0.309000000000001
70,2022-12-03,14.7,74.0,7.8,30.2,1.0,2.0,292.0,0.04,0.28,0.0,42.0,42.0,8.0,19.0,30.347,30.127,5.8,8.0,42.0,3,0.2200000000000024
71,2022-03-16,46.3,22.0,9.5,30.0,12.2,17.0,258.0,0.04,0.28,0.0,57.0,57.0,2.0,15.0,30.076,29.873,24.2,37.0,57.0,3,0.2029999999999994
72,2022-03-17,48.1,29.0,15.5,30.0,10.0,13.8,260.0,0.04,0.28,0.0,58.0,58.0,5.0,16.0,30.113,29.874,28.8,38.0,58.0,3,0.2390000000000007
73,2022-03-18,42.3,42.0,19.9,30.1,3.9,5.8,16.0,0.04,0.28,0.0,53.0,53.0,6.0,20.0,30.261,29.967,18.4,22.0,53.0,3,0.2940000000000005
74,2022-03-19,40.2,50.0,19.7,30.1,3.4,5.1,16.0,0.04,0.28,0.0,59.0,59.0,8.0,17.0,30.345,29.999,21.9,33.0,59.0,3,0.3460000000000001
75,2022-03-20,41.4,44.0,20.0,30.0,2.7,4.2,329.0,0.04,0.28,0.0,57.0,57.0,6.0,22.0,30.127,29.944,18.4,25.0,57.0,3,0.1829999999999998
76,2022-03-21,43.3,44.0,17.7,30.0,3.6,5.6,200.0,0.04,0.28,0.0,63.0,63.0,8.0,12.0,30.165,29.725,23.0,31.0,63.0,3,0.4399999999999977
77,2022-03-22,48.7,29.0,13.4,29.5,8.8,12.7,245.0,0.04,0.28,0.0,63.0,63.0,6.0,8.0,29.754,29.181,29.9,36.0,63.0,3,0.5730000000000004
78,2022-03-23,35.8,43.0,15.4,29.4,12.0,17.6,276.0,0.04,0.28,0.0,42.0,42.0,6.0,31.0,29.743,29.127,27.6,43.0,42.0,3,0.6159999999999997
79,2022-03-24,30.7,36.0,6.5,29.9,14.1,20.9,278.0,0.04,0.28,0.0,39.0,39.0,4.0,27.0,29.995,29.686,29.9,45.0,39.0,3,0.309000000000001
80,2022-03-25,28.1,47.0,9.8,29.8,6.3,9.4,275.0,0.04,0.28,0.0,34.0,34.0,7.0,28.0,29.923,29.72,21.9,31.0,34.0,3,0.2029999999999994
81,2022-03-26,16.8,82.0,12.3,30.0,3.0,4.9,71.0,0.04,0.28,0.0,25.0,25.0,8.0,72.0,30.412,29.687,20.7,26.0,32.0,3,0.7249999999999979
82,2022-03-27,21.1,64.0,9.2,30.2,3.3,5.0,281.0,0.4,0.64,0.0,36.0,36.0,8.0,23.0,30.433,29.987,17.3,26.0,36.0,3,0.4460000000000015
83,2022-03-28,33.1,37.0,9.3,29.9,11.5,16.7,262.0,0.4,0.64,0.0,43.0,43.0,4.0,23.0,30.017,29.775,27.6,38.0,43.0,3,0.2420000000000008
84,2022-03-29,40.7,39.0,16.1,29.4,13.4,19.1,265.0,0.4,0.64,0.0,52.0,52.0,8.0,18.0,29.775,29.131,27.6,38.0,52.0,3,0.6439999999999984
85,2022-03-30,23.3,37.0,0.8,29.7,14.5,20.9,273.0,0.4,0.64,0.0,30.0,30.0,5.0,27.0,30.029,29.314,28.8,41.0,32.0,3,0.7149999999999999
86,2022-03-31,25.8,40.0,4.5,29.8,16.1,23.2,266.0,0.4,0.64,0.0,33.0,33.0,6.0,27.0,29.977,29.661,38.0,51.0,33.0,3,0.3159999999999989
87,2022-01-04,24.8,67.0,14.1,29.7,5.9,8.3,263.0,0.0,0.64,0.0,34.0,34.0,87.0,27.0,30.066,29.51,18.4,26.0,34.0,4,0.5559999999999974
88,2022-02-04,29.1,49.0,11.7,29.9,11.0,15.2,274.0,0.01,0.65,0.0,43.4,43.4,82.0,32.0,30.049,29.616,27.6,44.0,43.4,4,0.4329999999999998
89,2022-03-04,36.5,60.0,22.8,29.4,6.1,8.2,310.0,0.01,0.65,0.0,46.1,46.1,93.0,30.0,29.616,29.35,24.2,35.0,46.1,4,0.2659999999999982
90,2022-04-04,25.7,67.0,15.4,29.8,8.5,11.6,10.0,0.24,0.88,0.0,33.7,33.7,93.0,40.0,30.302,29.377,27.6,41.0,33.7,4,0.9250000000000008
91,2022-05-04,22.0,55.0,7.7,30.5,3.9,5.9,309.0,0.25,0.89,0.0,33.9,33.9,78.0,29.0,30.651,30.27,17.3,24.0,33.9,4,0.3810000000000002
92,2022-06-04,34.3,30.0,3.8,30.4,6.5,9.8,298.0,0.25,0.89,0.0,49.4,49.4,52.0,13.0,30.6,30.13,21.9,31.0,49.4,4,0.4700000000000024
93,2022-07-04,45.3,18.0,3.9,30.0,12.5,17.1,250.0,0.25,0.89,0.0,55.3,55.3,31.0,12.0,30.13,29.893,26.5,36.0,55.3,4,0.2369999999999983
94,2022-08-04,49.6,22.0,11.4,29.5,9.1,13.4,270.0,0.25,0.89,0.0,60.7,60.7,37.0,11.0,29.925,29.277,26.5,41.0,60.7,4,0.6479999999999997
95,2022-09-04,37.4,47.0,16.3,29.6,10.5,15.0,277.0,0.25,0.89,0.0,49.5,49.5,91.0,21.0,29.905,29.32,34.5,43.0,49.5,4,0.5850000000000009
96,2022-10-04,35.9,73.0,27.2,30.0,2.0,3.6,66.0,0.3,0.94,0.0,49.9,49.9,92.0,40.0,30.072,29.851,10.4,20.0,49.9,4,0.221
97,2022-11-04,35.0,77.0,28.2,29.8,1.7,2.8,340.0,0.31,0.95,0.0,49.9,49.9,89.0,46.0,29.982,29.717,8.1,13.0,49.9,4,0.2650000000000005
98,2022-12-04,34.9,82.0,29.7,29.9,3.8,5.5,8.0,0.41,1.05,0.0,45.2,45.2,92.0,55.0,30.093,29.767,18.4,26.0,45.2,4,0.3260000000000005
99,2022-04-13,42.7,45.0,20.7,29.9,7.1,10.3,267.0,0.41,1.05,0.0,55.7,55.7,91.0,21.0,30.142,29.783,25.3,33.0,55.7,4,0.3589999999999982
100,2022-04-14,41.9,52.0,24.0,29.8,2.0,3.4,239.0,0.41,1.05,0.0,55.8,55.8,76.0,25.0,29.893,29.625,20.7,28.0,55.8,4,0.2680000000000007
101,2022-04-15,43.4,54.0,25.3,29.6,2.8,4.5,61.0,0.41,1.05,0.0,58.6,58.6,85.0,21.0,29.682,29.497,18.4,26.0,58.6,4,0.1849999999999987
102,2022-04-16,32.1,91.0,29.8,29.9,2.3,3.6,59.0,0.48,1.12,0.0,37.9,37.9,94.0,80.0,30.13,29.564,13.8,20.0,37.9,4,0.565999999999999
103,2022-04-17,30.8,92.0,28.8,30.1,0.0,0.0,50.0,0.55,1.19,0.0,32.4,32.4,94.0,90.0,30.195,30.088,0.0,0.0,32.4,4,0.1069999999999993
104,2022-04-18,33.5,87.0,29.9,30.2,1.1,1.7,149.0,1.24,1.88,0.0,43.8,43.8,93.0,57.0,30.355,30.109,12.7,21.0,43.8,4,0.2459999999999986
105,2022-04-19,37.4,58.0,22.0,30.4,4.5,6.5,263.0,1.3,1.94,0.0,50.8,50.8,91.0,30.0,30.553,30.143,18.4,24.0,50.8,4,0.4100000000000001
106,2022-04-20,47.3,38.0,22.4,30.1,7.9,11.1,258.0,1.3,1.94,0.0,57.8,57.8,56.0,25.0,30.196,30.006,21.9,33.0,57.8,4,0.1900000000000012
107,2022-04-21,51.7,35.0,23.2,30.0,6.8,10.0,269.0,1.3,1.94,0.0,64.2,64.2,68.0,18.0,30.139,29.872,21.9,26.0,64.2,4,0.2669999999999994
108,2022-04-22,47.0,48.0,25.6,29.9,5.5,7.8,256.0,1.3,1.94,0.0,62.1,62.1,83.0,17.0,29.992,29.759,26.5,35.0,62.1,4,0.2330000000000005
109,2022-04-23,52.1,35.0,21.6,29.7,5.6,8.0,256.0,1.3,1.94,0.0,67.9,67.9,70.0,12.0,29.856,29.496,31.1,49.0,74.1,4,0.360000000000003
110,2022-04-24,53.1,38.0,24.8,29.5,11.3,14.7,296.0,1.3,1.94,0.0,64.7,64.7,76.0,18.0,29.637,29.363,27.6,39.0,72.8,4,0.2740000000000009
111,2022-04-25,34.7,90.0,31.9,29.8,2.2,3.8,69.0,1.42,2.06,0.0,40.1,40.1,93.0,77.0,29.907,29.628,8.1,12.0,40.1,4,0.2789999999999999
112,2022-04-26,37.1,60.0,23.5,29.8,10.0,14.4,270.0,1.58,2.22,0.0,44.3,44.3,94.0,35.0,29.923,29.654,26.5,40.0,44.3,4,0.2689999999999983
113,2022-04-27,31.2,80.0,25.1,30.1,4.1,6.4,112.0,1.8,2.44,0.0,39.8,39.8,92.0,35.0,30.221,29.925,19.6,25.0,39.8,4,0.2959999999999994
114,2022-04-28,43.5,60.0,29.2,29.9,4.0,6.2,52.0,1.8,2.44,0.0,60.9,60.9,89.0,23.0,30.172,29.733,19.6,29.0,60.9,4,0.439
115,2022-04-29,52.7,30.0,19.6,29.7,8.1,11.3,245.0,1.8,2.44,0.0,65.0,65.0,65.0,9.0,29.885,29.628,24.2,33.0,69.4,4,0.2570000000000014
116,2022-04-30,42.9,63.0,30.7,29.9,3.6,5.7,52.0,1.8,2.44,0.0,53.1,53.1,79.0,41.0,29.983,29.882,12.7,18.0,53.1,4,0.100999999999999
117,2022-01-05,37.2,87.0,33.6,30.1,4.0,5.7,50.0,0.07,2.51,0.0,43.8,43.8,94.0,73.0,30.157,29.95,13.8,18.0,43.8,5,0.2070000000000007
118,2022-02-05,37.7,89.0,34.5,29.9,2.8,4.0,51.0,0.35,2.79,0.0,48.5,48.5,94.0,66.0,30.114,29.759,12.7,16.0,48.5,5,0.3550000000000004
119,2022-03-05,42.1,69.0,31.1,29.9,5.7,7.9,304.0,0.41,2.85,0.0,53.4,53.4,94.0,36.0,30.052,29.844,19.6,28.0,53.4,5,0.2079999999999984
120,2022-04-05,46.3,50.0,27.1,29.8,8.5,12.4,263.0,0.41,2.85,0.0,56.9,56.9,88.0,22.0,29.882,29.753,24.2,36.0,56.9,5,0.1290000000000013
121,2022-05-05,48.9,51.0,31.0,29.7,7.6,11.3,269.0,0.49,2.93,0.0,58.3,58.3,87.0,31.0,29.835,29.648,29.9,39.0,58.3,5,0.1870000000000011
122,2022-06-05,54.4,37.0,25.3,29.8,8.7,12.7,265.0,0.49,2.93,0.0,68.9,68.9,85.0,15.0,29.844,29.641,27.6,40.0,74.5,5,0.2030000000000029
123,2022-07-05,57.3,30.0,24.6,29.6,7.1,10.8,273.0,0.49,2.93,0.0,69.9,69.9,50.0,14.0,29.745,29.549,29.9,46.0,74.9,5,0.1960000000000015
124,2022-08-05,47.1,34.0,18.8,29.8,8.4,13.0,286.0,0.49,2.93,0.0,55.6,55.6,52.0,15.0,30.154,29.619,26.5,35.0,55.6,5,0.5350000000000001
125,2022-09-05,42.7,54.0,26.4,30.0,3.5,5.7,69.0,0.61,3.05,0.0,55.1,55.1,90.0,33.0,30.145,29.982,17.3,26.0,55.1,5,0.1630000000000002
126,2022-10-05,38.0,87.0,34.4,30.1,2.6,4.1,68.0,0.8,3.24,0.0,43.6,43.6,93.0,72.0,30.193,30.045,10.4,14.0,43.6,5,0.1479999999999997
127,2022-11-05,51.1,59.0,33.4,29.9,3.0,5.0,26.0,0.8,3.24,0.0,70.3,70.3,92.0,13.0,30.145,29.644,15.0,26.0,78.5,5,0.5010000000000012
128,2022-12-05,57.8,38.0,27.5,29.5,10.3,15.0,266.0,0.8,3.24,0.0,71.6,71.6,79.0,12.0,29.681,29.311,32.2,45.0,76.2,5,0.370000000000001
129,2022-05-13,51.6,23.0,14.1,29.7,11.2,16.0,265.0,0.8,3.24,0.0,59.9,59.9,31.0,13.0,30.022,29.346,29.9,43.0,59.9,5,0.6759999999999984
130,2022-05-14,50.8,32.0,19.5,29.8,5.4,8.3,291.0,0.8,3.24,0.0,67.8,67.8,60.0,16.0,30.023,29.673,26.5,35.0,74.2,5,0.3500000000000014
131,2022-05-15,52.6,40.0,27.1,29.8,10.1,13.3,340.0,0.8,3.24,0.0,63.4,63.4,62.0,15.0,30.034,29.617,27.6,40.0,63.4,5,0.416999999999998
132,2022-05-16,47.9,57.0,33.0,30.1,4.4,6.4,65.0,0.8,3.24,0.0,60.7,60.7,80.0,35.0,30.246,30.022,15.0,20.0,60.7,5,0.2240000000000002
133,2022-05-17,54.2,44.0,28.1,30.1,3.1,27.7,10.0,0.8,3.24,0.0,71.3,71.3,83.0,16.0,30.281,29.945,11.5,255.0,75.9,5,0.3359999999999985
134,2022-05-18,60.4,35.0,27.3,30.0,2.1,45.2,80.0,0.8,3.24,0.0,79.0,79.0,74.0,9.0,30.239,29.644,16.1,255.0,77.6,5,0.5950000000000024
135,2022-05-19,61.9,32.0,28.8,29.7,7.7,65.8,304.0,0.8,3.24,0.0,76.7,76.7,55.0,15.0,29.964,29.471,19.6,255.0,78.0,5,0.4929999999999985
136,2022-05-20,62.5,35.0,33.4,29.7,9.9,61.1,283.0,0.8,3.24,0.0,69.4,69.4,52.0,24.0,29.763,29.555,27.6,255.0,77.0,5,0.2080000000000019
137,2022-05-21,50.6,72.0,41.5,29.9,3.2,13.8,69.0,0.8,3.24,0.0,55.7,55.7,93.0,45.0,30.048,29.747,13.8,255.0,55.7,5,0.3009999999999984
138,2022-05-22,53.7,67.0,40.9,29.9,5.0,98.1,20.0,0.86,3.3,0.0,66.6,66.6,94.0,38.0,30.117,29.711,18.4,255.0,79.0,5,0.4060000000000023
139,2022-05-23,48.9,83.0,43.9,30.0,2.4,3.6,50.0,1.07,3.51,0.0,53.5,53.5,93.0,69.0,30.052,29.711,8.1,12.0,53.5,5,0.3410000000000011
140,2022-05-24,50.7,80.0,44.6,29.8,1.6,2.8,358.0,1.16,3.6,0.0,61.0,61.0,93.0,59.0,29.938,29.707,9.2,17.0,61.0,5,0.2309999999999981
141,2022-05-25,50.1,68.0,39.2,29.8,6.8,9.4,300.0,1.53,3.97,0.0,59.5,59.5,92.0,43.0,29.871,29.675,18.4,28.0,59.5,5,0.1959999999999979
142,2022-05-26,46.5,74.0,38.0,29.9,3.2,4.8,40.0,1.6,4.04,0.0,55.7,55.7,92.0,44.0,30.007,29.865,16.1,26.0,55.7,5,0.142000000000003
